,type,text,logit_score,pred_score
0,本文,一、午后の授業,0.0,0.0
1,本文,「ではみなさんは、そういうふうに川だと云われたり、乳の流れたあとだと云われたりしていたこのぼんやりと白いものがほんとうは何かご承知ですか。,0.0,0.0
2,本文,」先生は、黒板に吊した大きな黒い星座の図の、上から下へ白くけぶった銀河帯のようなところを指しながら、みんなに問をかけました。,0.0,0.0
3,本文,カムパネルラが手をあげました。,0.0,0.0
4,本文,それから四五人手をあげました。,0.0,0.0
5,本文,ジョバンニも手をあげようとして、急いでそのままやめました。,-2.2207188606262207,-0.8744695782661438
6,本文,たしかにあれがみんな星だと、いつか雑誌で読んだのでしたが、このごろはジョバンニはまるで毎日教室でもねむく、本を読むひまも読む本もないので、なんだかどんなこともよくわからないという気持ちがするのでした。,-1.2680569887161255,-0.6384709477424622
7,本文,ところが先生は早くもそれを見附けたのでした。,0.5684709548950195,0.5119921565055847
8,本文,「ジョバンニさん。,0.0,0.0
9,本文,あなたはわかっているのでしょう。」,0.0,0.0
10,本文,ジョバンニは勢よく立ちあがりましたが、立って見るともうはっきりとそれを答えることができないのでした。,-2.7579150199890137,-0.9534593820571899
11,本文,ザネリが前の席からふりかえって、ジョバンニを見てくすっとわらいました。,2.830422878265381,0.958168625831604
12,本文,ジョバンニはもうどぎまぎしてまっ赤になってしまいました。,-2.491354465484619,-0.9340037703514099
13,本文,先生がまた云いました。,0.0,0.0
14,本文,「大きな望遠鏡で銀河をよっく調べると銀河は大体何でしょう。」,0.0,0.0
15,本文,やっぱり星だとジョバンニは思いましたがこんどもすぐに答えることができませんでした。,-1.6392076015472412,-0.7642533779144287
16,本文,先生はしばらく困ったようすでしたが、眼をカムパネルラの方へ向けて、,0.0,0.0
17,本文,「ではカムパネルラさん。,0.0,0.0
18,本文,」と名指しました。,0.0,0.0
19,本文,するとあんなに元気に手をあげたカムパネルラが、やはりもじもじ立ち上ったままやはり答えができませんでした。,-2.0689449310302734,-0.8869184851646423
20,本文,先生は意外なようにしばらくじっとカムパネルラを見ていましたが、急いで「では。,0.0,0.0
21,本文,よし。,0.0,0.0
22,本文,」と云いながら、自分で星図を指しました。,0.0,0.0
23,本文,「このぼんやりと白い銀河を大きないい望遠鏡で見ますと、もうたくさんの小さな星に見えるのです。,0.0,0.0
24,本文,ジョバンニさんそうでしょう。」,0.0,0.0
25,本文,ジョバンニはまっ赤になってうなずきました。,0.0,0.0
26,本文,けれどもいつかジョバンニの眼のなかには涙がいっぱいになりました。,0.0,0.0
27,本文,そうだ僕は知っていたのだ、勿論カムパネルラも知っている、それはいつかカムパネルラのお父さんの博士のうちでカムパネルラといっしょに読んだ雑誌のなかにあったのだ。,0.0,0.0
28,本文,それどこでなくカムパネルラは、その雑誌を読むと、すぐお父さんの書斎から巨きな本をもってきて、ぎんがというところをひろげ、まっ黒な頁いっぱいに白い点々のある美しい写真を二人でいつまでも見たのでした。,1.7748193740844727,0.7833642363548279
29,本文,それをカムパネルラが忘れる筈もなかったのに、すぐに返事をしなかったのは、このごろぼくが、朝にも午后にも仕事がつらく、学校に出てももうみんなともはきはき遊ばず、カムパネルラともあんまり物を云わないようになったので、カムパネルラがそれを知って気の毒がってわざと返事をしなかったのだ、そう考えるとたまらないほど、じぶんもカムパネルラもあわれなような気がするのでした。,-2.6666183471679688,-0.9512768983840942
30,本文,先生はまた云いました。,0.0,0.0
31,本文,「ですからもしもこの天の川がほんとうに川だと考えるなら、その一つ一つの小さな星はみんなその川のそこの砂や砂利の粒にもあたるわけです。,0.0,0.0
32,本文,またこれを巨きな乳の流れと考えるならもっと天の川とよく似ています。,0.0,0.0
33,本文,つまりその星はみな、乳のなかにまるで細かにうかんでいる脂油の球にもあたるのです。,0.0,0.0
34,本文,そんなら何がその川の水にあたるかと云いますと、それは真空という光をある速さで伝えるもので、太陽や地球もやっぱりそのなかに浮んでいるのです。,0.0,0.0
35,本文,つまりは私どもも天の川の水のなかに棲んでいるわけです。,0.0,0.0
