,type,text,logit_value,pred_value,logit_score,pred_score,label_name
0,本文,杜陽と僕の二人は山道にかかっていた。,0.7315354943275452,0.5493833422660828,0.0,0.0,NEUTRAL
1,本文,足がかりのない山腹の巌から巌へ木をわたしてしつらえた桟道には、ところどころ深い壑底の覗かれる穴が開いていて魂をひやひやさした。,0.6146549582481384,0.49804601073265076,0.0,0.0,NEUTRAL
2,本文,その壑底には巨木が森々と茂っていて、それが吹きあげる風に枝葉をゆうらりゆらりと動かすのが幽に見えた。,1.070986270904541,0.596260666847229,1.070986270904541,0.596260666847229,POSITIVE
3,本文,壑の前方の峰の凹みに陽が落ちかけていた。,0.9899201989173889,0.5739922523498535,0.0,0.0,NEUTRAL
4,本文,情熱のなくなったような冷たいその光が微赤く此方の峰の一角を染めて、どこかで老鶯の声が聞えていた。,0.6175575256347656,0.5209449529647827,0.6175575256347656,0.5209449529647827,POSITIVE
5,本文,杜陽は日が暮れないうちに、宿駅のある処へ往こうと思って気があせっていた。,0.9330024123191833,0.5118336081504822,0.0,0.0,NEUTRAL
6,本文,その数年間、年に一二度は往復している途であるが、一歩を過れば生死のはかられない道であるから思うようには急げなかった。,1.1625826358795166,0.707554817199707,0.0,0.0,NEUTRAL
7,本文,彼は蒲東から興安へ出て布店をやっている舅の許にいて、秦晋の間を行商している者で、その時は興安へ帰るところであった。,0.6555309891700745,0.4850301444530487,0.0,0.0,NEUTRAL
8,本文,その日は褒斜を朝早く出発していた。,0.583786129951477,0.4615700840950012,0.583786129951477,0.4615700840950012,POSITIVE
9,本文,その危険な道の中でもわけて危険な処があると、二十歳になったばかりの若い主人は僕に注意した。,0.9004375338554382,0.5889256596565247,0.0,0.0,NEUTRAL
10,本文,「おい、あぶないよ、此方を歩かないといけないよ」,0.3556903302669525,0.428661972284317,0.0,0.0,NEUTRAL
11,本文,小柄な色の白いまだどこか小供小供したところのある男は細かい神経を持っていた。,1.2960816621780396,0.7329702973365784,0.0,0.0,NEUTRAL
12,本文,「おい、そんな処を歩いてはいけない、あぶないじゃないか」,0.8481671810150146,0.5150853991508484,-0.8481671810150146,-0.5150853991508484,NEGATIVE
13,本文,道は山の出っ鼻を廻って往った。,1.2381707429885864,0.7433480620384216,0.0,0.0,NEUTRAL
14,本文,樹と巌が入り乱れた処があって、夕陽の光が山風の中に物凄い色を見せていた。,1.1295139789581299,0.682108461856842,1.1295139789581299,0.682108461856842,POSITIVE
15,本文,僕がさきになってその方へ往った。,0.6973155736923218,0.5513230562210083,0.0,0.0,NEUTRAL
16,本文,左側には深い壑があった。,1.238271951675415,0.6576152443885803,0.0,0.0,NEUTRAL
17,本文,道は爪前さがりになっていた。,1.0568050146102905,0.5470404624938965,0.0,0.0,NEUTRAL
18,本文,杜陽は滑らないように脚下に注意していた。,1.3300111293792725,0.7016634345054626,0.0,0.0,NEUTRAL
19,本文,と、不意に僕の叫ぶ叫び声がした。,0.5591163039207458,0.4653503894805908,0.0,0.0,NEUTRAL
20,本文,それはなんとも形容のできないおそろしい声であった。,0.3277445137500763,0.45066916942596436,-0.3277445137500763,-0.45066916942596436,NEGATIVE
21,本文,杜陽はびっくりして前の方を見た。,0.7676876187324524,0.5655917525291443,0.0,0.0,NEUTRAL
22,本文,牛ほどもあるおおきな獣が後ろにのけぞった僕の胸のあたりに口をやっているところであった。,0.6639459729194641,0.5445337891578674,0.0,0.0,NEUTRAL
23,本文,杜陽は後ろへ逃げようとした。,0.7702536582946777,0.5776414275169373,0.0,0.0,NEUTRAL
24,本文,そのはずみに足を踏みはずして、そのまま壑の中へ墜ちて行った。,0.8885100483894348,0.5388141870498657,-0.8885100483894348,-0.5388141870498657,NEGATIVE
25,本文,杜陽は意識が回復してきた。,1.3227202892303467,0.6551710963249207,1.3227202892303467,0.6551710963249207,POSITIVE
